Volatility 3 Framework 2.7.0

Offset	Name	Size
0xe001c15caf20	\Users\Simon Zitauer\AppData\Local\Packages\Microsoft.Windows.Cortana_cw5n1h2txyewy\Settings\settings.dat	216
0xe001c15cb130	\Program Files\WindowsApps\Microsoft.WindowsAlarms_10.1609.2843.2000_x64__8wekyb3d8bbwe\resources.pri	216
0xe001c15d17e0	\Windows\System32\en-US\profsvc.dll.mui	216
0xe001c15d4090	\Windows\System32	216
0xe001c15d5a20	\Windows\assembly\NativeImages_v4.0.30319_64\mscorlib\612274c1d31adcb16957bc45650141c8\mscorlib.ni.dll.aux.tmp	216
0xe001c15d5b90	\Windows\System32\wimgapi.dll	216
0xe001c15e4c20	\$Directory	216
0xe001c15e9090	\ProgramData\Microsoft\Windows\ClipSVC\tokens.dat	216
0xe001c15f0490	\Users\Simon Zitauer\AppData\Local\Packages\Microsoft.Windows.Cortana_cw5n1h2txyewy\LocalState\speech_onecorereg.bin.LOG2	216
0xe001c15f0600	\Windows\System32\rpcss.dll	216
0xe001c15f4420	\Windows\SystemApps\WindowsFeedback_cw5n1h2txyewy\resources.pri	216
0xe001c15f4b90	\Windows\System32\Dism\en-US\VhdProvider.dll.mui	216
0xe001c15f8830	\Windows\System32\dmdskmgr.dll	216
0xe001c15fe490	\Users\Simon Zitauer\AppData\Local\Microsoft\Windows\Explorer\iconcache_idx.db	216
0xe001c1613090	\Users\Simon Zitauer\AppData\Local\Microsoft\Windows\Explorer\thumbcache_48.db	216
0xe001c1613f20	\Program Files\WindowsApps\Microsoft.Windows.Photos_15.618.18170.0_x64__8wekyb3d8bbwe\Microsoft.Photos.exe	216
0xe001c1617550	\Program Files\WindowsApps\Microsoft.WindowsMaps_4.1704.1011.2000_x64__8wekyb3d8bbwe\microsoft.system.package.metadata\S-1-5-21-2283595964-1408901249-3188858278-1000-MergedResources-0.pri	216
0xe001c161c950	\Users\Simon Zitauer\AppData\LocalLow\Microsoft\CryptnetUrlCache\MetaData\B2FAF7692FD9FFBD64EDE317E42334BA_D7393C8F62BDE4D4CB606228BC7A711E	216
0xe001c1626090	\wkssvc	216
0xe001c1656540	\Users\Simon Zitauer\AppData\Local\Packages\Microsoft.Windows.Cortana_cw5n1h2txyewy\Settings\settings.dat.LOG1	216
0xe001c165b950	\ProgramData\Microsoft\Windows\AppRepository\Packages\Microsoft.Windows.CloudExperienceHost_10.0.10240.16384_neutral_neutral_cw5n1h2txyewy\S-1-5-21-2283595964-1408901249-3188858278-1000.pckgdep	216
0xe001c1683270	\$Directory	216
0xe001c1683f20	\Windows\SystemApps\ShellExperienceHost_cw5n1h2txyewy\BatteryFlyoutExperience.dll	216
0xe001c1685090	\Windows\System32\drivers\rdyboost.sys	216
0xe001c1688090	\Windows\Registration\R000000000006.clb	216
0xe001c1694740	\$Directory	216
0xe001c16aff20	\Windows\System32\DriverStore\FileRepository\msmouse.inf_amd64_4acddb11202f82b1\msmouse.PNF	216
0xe001c16d9230	\Windows\System32\slwga.dll	216
0xe001c16e1d90	\Program Files\WindowsApps\Microsoft.VCLibs.140.00_14.0.33519.0_x64__8wekyb3d8bbwe\vcruntime140_1_app.dll	216
0xe001c16ef810	\Windows\System32\davhlpr.dll	216
0xe001c16f1f20	\Windows\System32\en-US\mycomput.dll.mui	216
0xe001c16f3630	\Users\Simon Zitauer\AppData\Local\Packages\Microsoft.Windows.Photos_8wekyb3d8bbwe\Settings\settings.dat	216
0xe001c1703430	\Windows\Globalization\Time Zone\timezones.xml	216
0xe001c1703f20	\Windows\SysWOW64\mfc42.dll	216
0xe001c1707090	\Windows\WinSxS\amd64_microsoft.windows.c..-controls.resources_6595b64144ccf1df_6.0.10240.16384_en-us_0a2ac40d83f72130\comctl32.dll.mui	216
0xe001c1728d00	\$Directory	216
0xe001c172f210	\$Directory	216
0xe001c1734090	\Program Files\CUAssistant\cuassistant.dll	216
0xe001c1737090	\Windows\Microsoft.NET\Framework64\v4.0.30319\WMINet_Utils.dll	216
0xe001c1737280	\Windows\SysWOW64\twinapi.dll	216
0xe001c173af20	\Windows\System32\en-US\comres.dll.mui	216
0xe001c173bb60	\Windows\SysWOW64\mfcore.dll	216
0xe001c1740f20	\Windows\System32\en-US\tzres.dll.mui	216
0xe001c174c480	\Windows\System32\drivers\en-US\tcpip.sys.mui	216
0xe001c1758f20	\Windows\System32\eqossnap.dll	216
0xe001c175b090	\Users\Public\Desktop\desktop.ini	216
0xe001c1763a80	\Windows\System32\CatRoot\{F750E6C3-38EE-11D1-85E5-00C04FC295EE}\Microsoft-Windows-FCI-Client-Package~31bf3856ad364e35~amd64~~10.0.10240.16384.cat	216
0xe001c1766b80	\Users\Simon Zitauer\AppData\Local\Packages\Microsoft.Windows.Cortana_cw5n1h2txyewy\LocalState\AppIconCache\100\{A24844CE-492F-40FA-98E0-72927AF5D56B}	216
0xe001c176f090	\Windows\System32\WinMetadata\Windows.Foundation.winmd	216
0xe001c177bf20	\Windows\SystemApps\ParentalControls_cw5n1h2txyewy\AppxManifest.xml	216
0xe001c177cf20	\Windows\System32\msvproc.dll	216
0xe001c177d560	\Windows\Fonts\consolab.ttf	216
0xe001c179d5b0	\$Directory	216
0xe001c179df20	\$Directory	216
0xe001c17a8f20	\Windows\System32\WinMetadata\Windows.Web.winmd	216
0xe001c17ab2f0	\Program Files\WindowsApps\Microsoft.BingNews_4.3.193.0_x86__8wekyb3d8bbwe\AppxManifest.xml	216
0xe001c17acd60	\Users\Simon Zitauer\AppData\Local\Packages\Microsoft.Windows.Cortana_cw5n1h2txyewy\LocalState\AppIconCache\100\{C635C9E3-7896-4F7B-B4DB-4C39ABD51D6D}	216
0xe001c17b7f20	\Users\Simon Zitauer\AppData\Local\Microsoft\Windows\Explorer\iconcache_48.db	216
0xe001c17ca2a0	\$Directory	216
0xe001c17e5320	\Windows\System32\drivers\ksecdd.sys	216
0xe001c17f4f20	\$Directory	216
0xe001c1806090	\$Directory	216
0xe001c1810760	\$Directory	216
0xe001c1824f20	\Windows\AppPatch\apppatch64\acspecfc.dll	216
0xe001c1827090	\ProgramData\Microsoft\Windows\AppRepository\Packages\Microsoft.XboxGameCallableUI_1000.10240.16384.0_neutral_neutral_cw5n1h2txyewy\S-1-5-21-2283595964-1408901249-3188858278-1000.pckgdep	216
0xe001c1829c70	\ProgramData\Microsoft\Windows\AppRepository\Packages\Microsoft.MicrosoftEdge_20.10240.16384.0_neutral__8wekyb3d8bbwe\S-1-5-21-2283595964-1408901249-3188858278-1000.pckgdep	216
0xe001c1832400	\Windows\Microsoft.NET\Framework64\v4.0.30319\clr.dll	216
0xe001c1838550	\Sessions\2\AppContainerNamedObjects\S-1-15-2-1288279408-4010470124-2163985056-447644096-1946037256-752919663-3751275627	216
0xe001c1838f20	\Windows\System32\en-US\msconfig.exe.mui	216
0xe001c184af20	\Windows\assembly\NativeImages_v4.0.30319_64\mscorlib\612274c1d31adcb16957bc45650141c8\mscorlib.ni.dll	216
0xe001c1857f20	\Windows\WinSxS\amd64_microsoft-windows-servicingstack_31bf3856ad364e35_10.0.10240.17020_none_1152834562020692\dpx.dll	216
0xe001c1881090	\Windows\SysWOW64\webservices.dll	216
0xe001c188f090	\$Directory	216
0xe001c18a6090	\$Directory	216
0xe001c18a8f20	\$Directory	216
0xe001c18b26d0	\$Directory	216
0xe001c18e3090	\ProgramData\Microsoft\Windows\Start Menu\Programs\System Tools\Default Programs.lnk	216
0xe001c18f2090	\Windows\System32\WinMetadata\Windows.Security.winmd	216
0xe001c190f090	\Windows\System32\config\systemprofile\AppData\Local\Microsoft\CLR_v4.0\UsageLogs\taskhostw.exe.log	216
0xe001c19166f0	\$ConvertToNonresident	216
0xe001c1919090	\$Directory	216
0xe001c191a410	\Output	216
0xe001c1922090	\$Directory	216
0xe001c1922f20	\$Directory	216
0xe001c1938090	\Windows\System32\en-US\crypt32.dll.mui	216
0xe001c1939540	\Windows\System32\Unistore.dll	216
0xe001c1949ed0	
`	0
0xe001c1949f20	\Windows\SysWOW64\MFMediaEngine.dll	216
0xe001c196c090	\Users\Simon Zitauer\AppData\Roaming\Microsoft\Windows\Start Menu\Programs\System Tools\Windows Defender.lnk	216
0xe001c1973f20	\$Directory	216
0xe001c19854f0	\$Directory	216
0xe001c198e810	\Windows\System32\Dism\DismCorePS.dll	216
0xe001c198ed60	\$Directory	216
0xe001c199a850	\Windows\System32\en-US\shell32.dll.mui	216
0xe001c19a6f20	\Windows\SystemApps\Microsoft.Windows.Cortana_cw5n1h2txyewy\Assets\bcsContent.json	216
0xe001c19c7f20	\Windows\explorer.exe	216
0xe001c19dcf20	\Windows\WinSxS\amd64_microsoft.windows.common-controls_6595b64144ccf1df_6.0.10240.16384_none_f41f7b285750ef43	216
0xe001c19e1f20	\ProgramData\Microsoft\Windows Defender\Definition Updates\{78232BDA-CF1D-4FE0-94E5-53C766C4F8A5}\mpasdlta.vdm	216
0xe001c19e6860	\Users\Simon Zitauer\AppData\Local\Packages\Microsoft.Windows.Cortana_cw5n1h2txyewy\LocalState\AppIconCache\100\{9DCD9B85-42C5-4483-B697-5A445EADBED1}	216
0xe001c1a01d00	\Windows\System32\drivers\null.sys	216
0xe001c1a08540	\Windows\System32\drivers\filecrypt.sys	216
0xe001c1a0b860	\Windows\System32\drivers\BasicRender.sys	216
0xe001c1a0cf20	\Windows\System32\drivers\beep.sys	216
0xe001c1a0d6a0	\Windows\System32\drivers\vmrawdsk.sys	216
0xe001c1a0de30	\Windows\System32\drivers\dxgkrnl.sys	216
0xe001c1a0e630	\Windows\SysWOW64\shell32.dll	216
0xe001c1a0e910	\Windows\SysWOW64\imagehlp.dll	216
0xe001c1a0ef20	\Windows\SysWOW64\rpcrt4.dll	216
0xe001c1a101f0	\Windows\System32\config\SYSTEM.LOG2	216
0xe001c1a10a60	\SystemRoot\System32\Config\TxR\{77a2c7c5-26f0-11e5-80da-e41d2d741090}.TM	216
0xe001c1a11f20	\Windows\System32\drivers\BasicDisplay.sys	216
0xe001c1a139b0	\Windows\System32\drivers\watchdog.sys	216
0xe001c1a14910	\Windows\System32\drivers\npfs.sys	216
0xe001c1a17850	\Windows\System32\drivers\tdx.sys	216
0xe001c1a1baa0	\Windows\System32\drivers\tdi.sys	216
0xe001c1a25f20	\Windows\System32\drivers\msfs.sys	216
0xe001c1a261d0	\Windows\System32\WinMetadata\Windows.System.winmd	216
0xe001c1a266c0	\Windows\System32\duser.dll	216
0xe001c1a27850	\Windows\System32\pnidui.dll	216
0xe001c1a32890	\Windows\System32\drivers\ws2ifsl.sys	216
0xe001c1a33aa0	\Windows\System32\drivers\netbt.sys	216
0xe001c1a38300	\Windows\System32\drivers\csc.sys	216
0xe001c1a388d0	\Windows\System32\drivers\afd.sys	216
0xe001c1a39c20	\Windows\System32\drivers\rdbss.sys	216
0xe001c1a3a210	\Windows\System32\drivers\pacer.sys	216
0xe001c1a3b070	\Windows\System32\drivers\vwififlt.sys	216
0xe001c1a3c9a0	\Windows\System32\drivers\npsvctrig.sys	216
0xe001c1a3d850	\Windows\System32\drivers\netbios.sys	216
0xe001c1a472e0	\Windows\WinSxS\amd64_microsoft-windows-servicingstack_31bf3856ad364e35_10.0.10240.17020_none_1152834562020692\dpx.dll	216
0xe001c1a47b30	\$Directory	216
0xe001c1a89600	\$Directory	216
0xe001c1a91db0	\ProgramData\Microsoft\Windows\AppRepository\Packages\microsoft.windowscommunicationsapps_17.6568.46361.1000_x64__8wekyb3d8bbwe\S-1-5-21-2283595964-1408901249-3188858278-1000.pckgdep	216
0xe001c1ab2db0	\$Directory	216
0xe001c1ae83b0	\Windows\Microsoft.NET\Framework\v4.0.30319\mscoreei.dll	216
0xe001c1af5710	\Endpoint	216
0xe001c1c388a0	\$Directory	216
0xe001c1c46f20	\$Directory	216
0xe001c1c56090	\Users\Simon Zitauer\AppData\Roaming\Microsoft\Windows\Start Menu\Programs	216
0xe001c1c565c0	\Users\Simon Zitauer\AppData\Roaming\Microsoft\Windows\Start Menu	216
0xe001c1c56ae0	\Users\Simon Zitauer\AppData\Roaming\Microsoft\Windows\Start Menu	216
0xe001c1c5cca0	\$Directory	216
0xe001c1c5ff20	\Windows\System32\drivers\spaceport.sys	216
0xe001c1c64f20	\$Directory	216
0xe001c1c6dbf0	\ProgramData\Microsoft\Windows\WER\ReportArchive	216
0xe001c1cd2990	\$Directory	216
0xe001c1d04bf0	\Windows\System32\Pimstore.dll	216
0xe001c1d13ad0	\Windows\System32\WSClient.dll	216
0xe001c1d1a090	\Program Files\VMware\VMware Tools\suspend-vm-default.bat	216
0xe001c1d1a440	\Windows\SysWOW64\jscript9.dll	216
0xe001c1d1ba20	\Windows\SysWOW64\userenv.dll	216
0xe001c1d28c40	\ProgramData\Microsoft\Windows\Start Menu\Programs\Accessories\Snipping Tool.lnk	216
0xe001c1d28f20	\Windows\System32\imapi2fs.dll	216
0xe001c1d294a0	\$Directory	216
0xe001c1d2ca30	\Users\Simon Zitauer\AppData\Roaming\Microsoft\Windows\Start Menu	216
0xe001c1d2cf20	\Windows\INF\volume.PNF	216
0xe001c1d56720	\Windows\System32\DriverStore\FileRepository\vmusbmouse.inf_amd64_10216c6a1ee90ca6\vmusbmouse.PNF	216
0xe001c1d79940	\Windows\System32\ConhostV2.dll	216
0xe001c1d7ba80	\$Directory	216
0xe001c1d7c090	\$Directory	216
0xe001c1d82090	\Windows\System32\imageres.dll	216
0xe001c1d82200	\Windows\SysWOW64\atl.dll	216
0xe001c1d82ad0	\$Directory	216
0xe001c1d82c40	\$Directory	216
0xe001c1d82f20	\Program Files\Common Files\microsoft shared\ink\tiptsf.dll	216
0xe001c1d86c40	\$Directory	216
0xe001c1d8d460	\Windows\System32\C_1255.NLS	216
0xe001c1d9a7d0	\$Directory	216
0xe001c1d9df20	\Windows\System32\en-US\shell32.dll.mui	216
0xe001c1da0f20	\Windows\System32\drivers\mssmbios.sys	216
0xe001c1da2540	\Windows\WinSxS\amd64_microsoft.windows.common-controls_6595b64144ccf1df_6.0.10240.16384_none_f41f7b285750ef43	216
0xe001c1db0420	\Windows\SysWOW64\en-US\KernelBase.dll.mui	216
0xe001c1db08a0	\Windows\System32\config\systemprofile\AppData\LocalLow\Microsoft\CryptnetUrlCache\MetaData\77EC63BDA74BD0D0E0426DC8F8008506	216
0xe001c1e2b9b0	\ProgramData\Microsoft\Windows\Start Menu\Programs\Accessories\System Tools\Character Map.lnk	216
0xe001c1e31390	\Windows\SysWOW64\msvcr120_clr0400.dll	216
0xe001c1e4bf20	\Windows\Prefetch\SEARCHFILTERHOST.EXE-44162447.pf	216
0xe001c1e4d4d0	\$Directory	216
0xe001c1e59090	\Windows\SysWOW64\msxml6r.dll	216
0xe001c1e76090	\ProgramData\Microsoft\Windows\Start Menu\Programs\Accessories\XPS Viewer.lnk	216
0xe001c1e7a090	\Windows\System32\Tasks\Microsoft\Windows\SoftwareProtectionPlatform\SvcRestartTask	216
0xe001c1e8cb80	\Windows\System32\PlayToDevice.dll	216
0xe001c1e93450	\Windows\System32\cryptext.dll	216
0xe001c1e97be0	\Windows\System32\en-US\edgehtml.dll.mui	216
0xe001c1e9af20	\Windows\System32\spp.dll	216
0xe001c1e9cb30	\Windows\System32\ieframe.dll	216
0xe001c1e9d090	\$Directory	216
0xe001c1ea6cf0	\Windows\SysWOW64\msimtf.dll	216
0xe001c1eaa990	\Windows\INF\WmiApRpl\WmiApRpl.ini	216
0xe001c1ed0a10	\Windows\System32\azroles.dll	216
0xe001c1ee3f20	\Windows\System32\drivers\acpi.sys	216
0xe001c1ee4090	\Windows\System32\en-US\aclui.dll.mui	216
0xe001c1eeaa10	\ProgramData\Microsoft\Windows\AppRepository\Packages\Microsoft.WindowsFeedback_10.0.10240.16384_neutral_neutral_cw5n1h2txyewy\S-1-5-21-2283595964-1408901249-3188858278-1000.pckgdep	216
0xe001c1eeb930	\Program Files\WindowsApps\Microsoft.Windows.Photos_15.618.18170.0_x64__8wekyb3d8bbwe\Microsoft.Photos.dll	216
0xe001c1eef090	\$Directory	216
0xe001c1ef0090	\Windows\System32\en-US\Chakra.dll.mui	216
0xe001c21a8bf0	\$Directory	216
0xe001c21d8090	\Windows\System32\omadmapi.dll	216
0xe001c21d9250	\Windows\System32\dmcsps.dll	216
0xe001c21dd090	\Users\Simon Zitauer\AppData\Local\Microsoft\Windows\WebCache\V01.chk	216
0xe001c21e0090	\Windows\System32\WinMetadata\Windows.UI.winmd	216
0xe001c2239090	\Windows\System32\dmxmlhelputils.dll	216
0xe001c223aaa0	\Windows\System32\DmApiSetExtImpl.dll	216
0xe001c223ae40	\Windows\System32\localspl.dll	216
0xe001c223b090	\Windows\System32\MbaeApiPublic.dll	216
0xe001c223bc90	\Windows\System32\en-US\MbaeApiPublic.dll.mui	216
